#LMID	Name	Category	Subcategory	Formula	Mass	NumofC	NumofH	NumofO	NumofN	NumofP	NumofS	H:C	H:O	C:O	C:N	C:S	C:P	Afterdecmass	AMD	RMD
LMFA01090153	"(2E,4Z)-3-chlorohexa-2,4-dienedioic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C6H5O4N0S0P0	141.018786	6	5	4	0	0	0	0.833333333	1.25	1.5	0	0	0	0.9876	0.0124	70
LMFA01020226	"19-methyl-5Z,9Z-eicosadienoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C21H38O2N0S0P0	322.287181	21	38	2	0	0	0	1.80952381	19	10.5	0	0	0	0.2872	0.2872	891
LMFA01050382	2R-methyl-3-hydroxy-propanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C4H8O3N0S0P0	104.047345	4	8	3	0	0	0	2	2.666666667	1.333333333	0	0	0	0.0473	0.0473	455
LMFA01050018	5-hydroxy-heptanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C7H14O3N0S0P0	146.094295	7	14	3	0	0	0	2	4.666666667	2.333333333	0	0	0	0.0943	0.0943	645
LMFA01160015	"(2R)-2-[(1R)-1-hydroxy-19-{(1R,2R)-2-[(2R,19S,20S)-19-methoxy-20-methyloctatriacontan-2-yl]cyclopropyl}nonadecyl]hexacosanoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C88H174O4N0S0P0	1295.341213	88	174	4	0	0	0	1.977272727	43.5	22	0	0	0	0.3412	0.3412	263
LMFA03060092	"18-hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic_acid"	Fatty_Acyls	Eicosanoids	C20H32O3N0S0P0	320.235146	20	32	3	0	0	0	1.6	10.66666667	6.666666667	0	0	0	0.2351	0.2351	734
LMFA11000589	Tricosane	Fatty_Acyls	Hydrocarbons	C23H48O0N0S0P0	324.375601	23	48	0	0	0	0	2.086956522	0	0	0	0	0	0.3756	0.3756	1158
LMFA01030059	2-heptadecenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C17H32O2N0S0P0	268.240231	17	32	2	0	0	0	1.882352941	16	8.5	0	0	0	0.2402	0.2402	895
LMFA01060045	10-oxo-tetradecanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C14H26O3N0S0P0	242.188195	14	26	3	0	0	0	1.857142857	8.666666667	4.666666667	0	0	0	0.1882	0.1882	777
LMFA08020187	4-[(5-aminopentyl)(hydroxy)amino]-4-oxobutanoic_acid	Fatty_Acyls	Fatty_amides	C9H18O4N2S0P0	218.126657	9	18	4	2	0	0	2	4.5	2.25	4.5	0	0	0.1267	0.1267	581
LMFA01020168	2-heptyl-nonanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C16H32O2N0S0P0	256.240231	16	32	2	0	0	0	2	16	8	0	0	0	0.2402	0.2402	937
LMFA01030017	2Z-octenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C8H14O2N0S0P0	142.09938	8	14	2	0	0	0	1.75	7	4	0	0	0	0.0994	0.0994	700
