@relation	AllLipidGatewayCompounds

@attribute	ID	string
@attribute	Mass	numeric
@attribute	NumofC	numeric
@attribute	NumofH	numeric
@attribute	NumofO	numeric
@attribute	NumofN	numeric
@attribute	NumofP	numeric
@attribute	NumofS	numeric
@attribute	H:C	numeric
@attribute	H:O	numeric
@attribute	C:O	numeric
@attribute	C:N	numeric
@attribute	C:S	numeric
@attribute	C:P	numeric
@attribute	Afterdecmass	numeric
@attribute	AMD	numeric
@attribute	RMD	numeric
@attribute	class	{Fatty_Acyls,Glycerolipids,Glycerophospholipids,Polyketides,Prenol_Lipids,Saccharolipids,Sphingolipids,Sterol_Lipids}

@data
LMFA01090153,141.018786,6,5,4,0,0,0,0.833333333,1.25,1.5,0,0,0,0.9876,0.0124,70,Fatty_Acyls
LMFA01020226,322.287181,21,38,2,0,0,0,1.80952381,19,10.5,0,0,0,0.2872,0.2872,891,Fatty_Acyls
LMFA01050382,104.047345,4,8,3,0,0,0,2,2.666666667,1.333333333,0,0,0,0.0473,0.0473,455,Fatty_Acyls
LMFA01050018,146.094295,7,14,3,0,0,0,2,4.666666667,2.333333333,0,0,0,0.0943,0.0943,645,Fatty_Acyls
LMFA01160015,1295.341213,88,174,4,0,0,0,1.977272727,43.5,22,0,0,0,0.3412,0.3412,263,Fatty_Acyls
LMFA03060092,320.235146,20,32,3,0,0,0,1.6,10.66666667,6.666666667,0,0,0,0.2351,0.2351,734,Fatty_Acyls
LMFA11000589,324.375601,23,48,0,0,0,0,2.086956522,0,0,0,0,0,0.3756,0.3756,1158,Fatty_Acyls
LMFA01030059,268.240231,17,32,2,0,0,0,1.882352941,16,8.5,0,0,0,0.2402,0.2402,895,Fatty_Acyls
LMFA01060045,242.188195,14,26,3,0,0,0,1.857142857,8.666666667,4.666666667,0,0,0,0.1882,0.1882,777,Fatty_Acyls
LMFA08020187,218.126657,9,18,4,2,0,0,2,4.5,2.25,4.5,0,0,0.1267,0.1267,581,Fatty_Acyls
LMFA01020168,256.240231,16,32,2,0,0,0,2,16,8,0,0,0,0.2402,0.2402,937,Fatty_Acyls
LMFA01030017,142.09938,8,14,2,0,0,0,1.75,7,4,0,0,0,0.0994,0.0994,700,Fatty_Acyls
LMFA08020192,229.146664,15,19,1,1,0,0,1.266666667,19,15,15,0,0,0.1467,0.1467,640,Fatty_Acyls
LMFA02000275,298.250796,18,34,3,0,0,0,1.888888889,11.33333333,6,0,0,0,0.2508,0.2508,841,Fatty_Acyls
LMFA03010097,410.266841,23,38,6,0,0,0,1.652173913,6.333333333,3.833333333,0,0,0,0.2668,0.2668,650,Fatty_Acyls
LMFA01030231,196.14633,12,20,2,0,0,0,1.666666667,10,6,0,0,0,0.1463,0.1463,746,Fatty_Acyls
LMFA11000076,378.422551,27,54,0,0,0,0,2,0,0,0,0,0,0.4226,0.4226,1117,Fatty_Acyls
LMFA07010976,210.16198,13,22,2,0,0,0,1.692307692,11,6.5,0,0,0,0.162,0.162,771,Fatty_Acyls
LMFA01050102,304.224976,16,32,5,0,0,0,2,6.4,3.2,0,0,0,0.225,0.225,740,Fatty_Acyls
LMFA11000385,296.344301,21,44,0,0,0,0,2.095238095,0,0,0,0,0,0.3443,0.3443,1162,Fatty_Acyls
LMFA07050221,867.167638,26,44,18,7,3,1,1.692307692,2.444444444,1.444444444,3.714285714,26,8.666666667,0.1676,0.1676,193,Fatty_Acyls
LMFA11000312,308.344301,22,44,0,0,0,0,2,0,0,0,0,0,0.3443,0.3443,1117,Fatty_Acyls
LMFA03110087,334.214411,20,30,4,0,0,0,1.5,7.5,5,0,0,0,0.2144,0.2144,642,Fatty_Acyls
LMFA07011033,550.474981,38,62,2,0,0,0,1.631578947,31,19,0,0,0,0.475,0.475,863,Fatty_Acyls
LMFA07010898,236.17763,15,24,2,0,0,0,1.6,12,7.5,0,0,0,0.1776,0.1776,752,Fatty_Acyls
LMFA03060103,320.235145,20,32,3,0,0,0,1.6,10.66666667,6.666666667,0,0,0,0.2351,0.2351,734,Fatty_Acyls
LMFA07050079,1047.355447,39,68,18,7,3,1,1.743589744,3.777777778,2.166666667,5.571428571,39,13,0.3554,0.3554,339,Fatty_Acyls
LMFA05000472,130.135765,8,18,1,0,0,0,2.25,18,8,0,0,0,0.1358,0.1358,1044,Fatty_Acyls
LMFA07050331,837.157073,25,42,17,7,3,1,1.68,2.470588235,1.470588235,3.571428571,25,8.333333333,0.1571,0.1571,188,Fatty_Acyls
LMFA01120001,325.225309,18,31,4,1,0,0,1.722222222,7.75,4.5,18,0,0,0.2253,0.2253,693,Fatty_Acyls
LMFA01090126,281.15415,19,21,2,0,0,0,1.105263158,10.5,9.5,0,0,0,0.0725,0.0725,201,Fatty_Acyls
LMFA07070022,475.366159,29,49,4,1,0,0,1.689655172,12.25,7.25,29,0,0,0.3662,0.3662,770,Fatty_Acyls
LMFA03060030,320.235146,20,32,3,0,0,0,1.6,10.66666667,6.666666667,0,0,0,0.2351,0.2351,734,Fatty_Acyls
LMFA07010942,130.09938,7,14,2,0,0,0,2,7,3.5,0,0,0,0.0994,0.0994,764,Fatty_Acyls
LMFA05000664,276.172545,17,24,3,0,0,0,1.411764706,8,5.666666667,0,0,0,0.1725,0.1725,625,Fatty_Acyls
LMFA03010059,378.277011,23,38,4,0,0,0,1.652173913,9.5,5.75,0,0,0,0.277,0.277,732,Fatty_Acyls
LMFA01020037,242.224581,15,30,2,0,0,0,2,15,7.5,0,0,0,0.2246,0.2246,927,Fatty_Acyls
LMFA07010900,428.313789,24,44,6,0,0,0,1.833333333,7.333333333,4,0,0,0,0.3138,0.3138,733,Fatty_Acyls
LMFA06000002,98.073165,6,10,1,0,0,0,1.666666667,10,6,0,0,0,0.0732,0.0732,746,Fatty_Acyls
LMFA12000125,144.11503,8,16,2,0,0,0,2,8,4,0,0,0,0.115,0.115,798,Fatty_Acyls
LMFA03110101,334.214411,20,30,4,0,0,0,1.5,7.5,5,0,0,0,0.2144,0.2144,642,Fatty_Acyls
LMFA07010380,296.271531,19,36,2,0,0,0,1.894736842,18,9.5,0,0,0,0.2715,0.2715,916,Fatty_Acyls
LMFA01030801,156.11503,9,16,2,0,0,0,1.777777778,8,4.5,0,0,0,0.115,0.115,737,Fatty_Acyls
LMFA06000020,112.088815,7,12,1,0,0,0,1.714285714,12,7,0,0,0,0.0888,0.0888,792,Fatty_Acyls
LMFA07050133,1067.324139,41,64,18,7,3,1,1.56097561,3.555555556,2.277777778,5.857142857,41,13.66666667,0.3241,0.3241,304,Fatty_Acyls
LMFA07010282,242.224581,15,30,2,0,0,0,2,15,7.5,0,0,0,0.2246,0.2246,927,Fatty_Acyls
LMFA01020378,294.255881,19,34,2,0,0,0,1.789473684,17,9.5,0,0,0,0.2559,0.2559,870,Fatty_Acyls
LMFA05000179,210.198365,14,26,1,0,0,0,1.857142857,26,14,0,0,0,0.1984,0.1984,944,Fatty_Acyls
LMFA01060006,116.047345,5,8,3,0,0,0,1.6,2.666666667,1.666666667,0,0,0,0.0473,0.0473,408,Fatty_Acyls
LMFA01020159,228.20893,14,28,2,0,0,0,2,14,7,0,0,0,0.2089,0.2089,915,Fatty_Acyls
LMFA01030290,282.255881,18,34,2,0,0,0,1.888888889,17,9,0,0,0,0.2559,0.2559,907,Fatty_Acyls
LMFA12000170,196.182715,13,24,1,0,0,0,1.846153846,24,13,0,0,0,0.1827,0.1827,931,Fatty_Acyls
LMFA08010011,281.271864,18,35,1,1,0,0,1.944444444,35,18,18,0,0,0.2719,0.2719,967,Fatty_Acyls
LMFA06000224,236.214015,16,28,1,0,0,0,1.75,28,16,0,0,0,0.214,0.214,906,Fatty_Acyls
LMFA01030597,210.16198,13,22,2,0,0,0,1.692307692,11,6.5,0,0,0,0.162,0.162,771,Fatty_Acyls
LMFA01030867,308.271531,20,36,2,0,0,0,1.8,18,10,0,0,0,0.2715,0.2715,881,Fatty_Acyls
LMFA11000450,240.281701,17,36,0,0,0,0,2.117647059,0,0,0,0,0,0.2817,0.2817,1172,Fatty_Acyls
LMFA02000125,300.266446,18,36,3,0,0,0,2,12,6,0,0,0,0.2664,0.2664,887,Fatty_Acyls
LMFA07010206,198.16198,12,22,2,0,0,0,1.833333333,11,6,0,0,0,0.162,0.162,818,Fatty_Acyls
LMFA01020281,270.255881,17,34,2,0,0,0,2,17,8.5,0,0,0,0.2559,0.2559,947,Fatty_Acyls
LMFA11000596,154.17215,11,22,0,0,0,0,2,0,0,0,0,0,0.1721,0.1721,1116,Fatty_Acyls
LMFA05000202,236.214015,16,28,1,0,0,0,1.75,28,16,0,0,0,0.214,0.214,906,Fatty_Acyls
LMFA07010350,278.224581,18,30,2,0,0,0,1.666666667,15,9,0,0,0,0.2246,0.2246,807,Fatty_Acyls
LMFA01060136,340.297746,21,40,3,0,0,0,1.904761905,13.33333333,7,0,0,0,0.2977,0.2977,875,Fatty_Acyls
LMFA01090129,269.15415,18,21,2,0,0,0,1.166666667,10.5,9,0,0,0,0.0725,0.0725,208,Fatty_Acyls
LMFA03110062,316.203846,20,28,3,0,0,0,1.4,9.333333333,6.666666667,0,0,0,0.2038,0.2038,645,Fatty_Acyls
LMFA03010087,352.224976,20,32,5,0,0,0,1.6,6.4,4,0,0,0,0.225,0.225,639,Fatty_Acyls
LMFA05000087,424.464416,29,60,1,0,0,0,2.068965517,60,29,0,0,0,0.4644,0.4644,1094,Fatty_Acyls
LMFA08020124,353.292994,21,39,3,1,0,0,1.857142857,13,7,21,0,0,0.293,0.293,829,Fatty_Acyls
LMFA07050033,993.308497,35,62,18,7,3,1,1.771428571,3.444444444,1.944444444,5,35,11.66666667,0.3085,0.3085,311,Fatty_Acyls
LMFA03110021,354.240626,20,34,5,0,0,0,1.7,6.8,4,0,0,0,0.2406,0.2406,679,Fatty_Acyls
LMFA07010216,212.17763,13,24,2,0,0,0,1.846153846,12,6.5,0,0,0,0.1776,0.1776,837,Fatty_Acyls
LMFA01060087,200.141245,11,20,3,0,0,0,1.818181818,6.666666667,3.666666667,0,0,0,0.1412,0.1412,706,Fatty_Acyls
LMFA11000152,432.469501,31,60,0,0,0,0,1.935483871,0,0,0,0,0,0.4695,0.4695,1086,Fatty_Acyls
LMFA07040064,280.240231,18,32,2,0,0,0,1.777777778,16,9,0,0,0,0.2402,0.2402,857,Fatty_Acyls
LMFA02000020,310.214411,18,30,4,0,0,0,1.666666667,7.5,4.5,0,0,0,0.2144,0.2144,691,Fatty_Acyls
LMFA03120042,505.243764,27,37,9,0,0,0,1.37037037,4.111111111,3,0,0,0,0.2126,0.2126,394,Fatty_Acyls
LMFA07010377,280.240231,18,32,2,0,0,0,1.777777778,16,9,0,0,0,0.2402,0.2402,857,Fatty_Acyls
LMFA03060079,336.230061,20,32,4,0,0,0,1.6,8,5,0,0,0,0.2301,0.2301,684,Fatty_Acyls
LMFA02000199,290.188195,18,26,3,0,0,0,1.444444444,8.666666667,6,0,0,0,0.1882,0.1882,649,Fatty_Acyls
LMFA12000136,140.120115,9,16,1,0,0,0,1.777777778,16,9,0,0,0,0.1201,0.1201,857,Fatty_Acyls
LMFA07010665,240.20893,15,28,2,0,0,0,1.866666667,14,7.5,0,0,0,0.2089,0.2089,870,Fatty_Acyls
LMFA07010531,252.20893,16,28,2,0,0,0,1.75,14,8,0,0,0,0.2089,0.2089,828,Fatty_Acyls
LMFA07010340,266.224581,17,30,2,0,0,0,1.764705882,15,8.5,0,0,0,0.2246,0.2246,844,Fatty_Acyls
LMFA01020245,158.13068,9,18,2,0,0,0,2,9,4.5,0,0,0,0.1307,0.1307,827,Fatty_Acyls
LMFA03050027,322.251,20,34,3,0,0,0,1.7,11.33333333,6.666666667,0,0,0,0.251,0.251,779,Fatty_Acyls
LMFA08020148,405.287909,24,39,4,1,0,0,1.625,9.75,6,24,0,0,0.2879,0.2879,710,Fatty_Acyls
LMFA08010012,213.209264,13,27,1,1,0,0,2.076923077,27,13,13,0,0,0.2093,0.2093,982,Fatty_Acyls
LMFA07010719,184.14633,11,20,2,0,0,0,1.818181818,10,5.5,0,0,0,0.1463,0.1463,794,Fatty_Acyls
LMFA01060046,242.188195,14,26,3,0,0,0,1.857142857,8.666666667,4.666666667,0,0,0,0.1882,0.1882,777,Fatty_Acyls
LMFA07010705,232.14633,15,20,2,0,0,0,1.333333333,10,7.5,0,0,0,0.1463,0.1463,630,Fatty_Acyls
LMFA03120021,316.203846,20,28,3,0,0,0,1.4,9.333333333,6.666666667,0,0,0,0.2038,0.2038,645,Fatty_Acyls
LMFA11000117,322.359951,23,46,0,0,0,0,2,0,0,0,0,0,0.36,0.36,1117,Fatty_Acyls
LMFA07010391,308.271531,20,36,2,0,0,0,1.8,18,10,0,0,0,0.2715,0.2715,881,Fatty_Acyls
LMFA03000014,338.245711,20,34,4,0,0,0,1.7,8.5,5,0,0,0,0.2457,0.2457,726,Fatty_Acyls
LMFA01050370,188.141245,10,20,3,0,0,0,2,6.666666667,3.333333333,0,0,0,0.1412,0.1412,750,Fatty_Acyls
LMFA07020003,654.452929,37,66,7,0,0,1,1.783783784,9.428571429,5.285714286,0,37,0,0.4529,0.4529,692,Fatty_Acyls
LMFA12000207,280.276616,19,36,1,0,0,0,1.894736842,36,19,0,0,0,0.2766,0.2766,987,Fatty_Acyls
LMFA07050146,989.313574,36,62,17,7,3,1,1.722222222,3.647058824,2.117647059,5.142857143,36,12,0.3136,0.3136,317,Fatty_Acyls
LMFA01100039,103.063329,4,9,2,1,0,0,2.25,4.5,2,4,0,0,0.0633,0.0633,614,Fatty_Acyls
LMFA12000050,128.120115,8,16,1,0,0,0,2,16,8,0,0,0,0.1201,0.1201,937,Fatty_Acyls
LMFA07040047,224.17763,14,24,2,0,0,0,1.714285714,12,7,0,0,0,0.1776,0.1776,792,Fatty_Acyls
LMFA11000676,184.2191,13,28,0,0,0,0,2.153846154,0,0,0,0,0,0.2191,0.2191,1189,Fatty_Acyls
LMFA01020216,298.287181,19,38,2,0,0,0,2,19,9.5,0,0,0,0.2872,0.2872,963,Fatty_Acyls
LMFA07010890,182.094294,10,14,3,0,0,0,1.4,4.666666667,3.333333333,0,0,0,0.0943,0.0943,518,Fatty_Acyls
LMFA01030342,278.224581,18,30,2,0,0,0,1.666666667,15,9,0,0,0,0.2246,0.2246,807,Fatty_Acyls
LMFA01031021,394.381081,26,50,2,0,0,0,1.923076923,25,13,0,0,0,0.3811,0.3811,966,Fatty_Acyls
LMFA12000060,170.167065,11,22,1,0,0,0,2,22,11,0,0,0,0.1671,0.1671,982,Fatty_Acyls
LMFA01160012,1253.294263,85,168,4,0,0,0,1.976470588,42,21.25,0,0,0,0.2943,0.2943,235,Fatty_Acyls
LMFA01030427,390.349781,26,46,2,0,0,0,1.769230769,23,13,0,0,0,0.3498,0.3498,896,Fatty_Acyls
LMFA03060010,336.230061,20,32,4,0,0,0,1.6,8,5,0,0,0,0.2301,0.2301,684,Fatty_Acyls
LMFA07010064,466.474981,31,62,2,0,0,0,2,31,15.5,0,0,0,0.475,0.475,1018,Fatty_Acyls
LMFA01030494,252.20893,16,28,2,0,0,0,1.75,14,8,0,0,0,0.2089,0.2089,828,Fatty_Acyls
LMFA12000239,126.06808,7,10,2,0,0,0,1.428571429,5,3.5,0,0,0,0.0681,0.0681,540,Fatty_Acyls
LMFA11000388,184.2191,13,28,0,0,0,0,2.153846154,0,0,0,0,0,0.2191,0.2191,1189,Fatty_Acyls
LMFA07050024,891.204032,29,48,17,7,3,1,1.655172414,2.823529412,1.705882353,4.142857143,29,9.666666667,0.204,0.204,229,Fatty_Acyls
LMFA06000147,154.135765,10,18,1,0,0,0,1.8,18,10,0,0,0,0.1358,0.1358,881,Fatty_Acyls
LMFA06000204,236.214015,16,28,1,0,0,0,1.75,28,16,0,0,0,0.214,0.214,906,Fatty_Acyls
LMFA07050322,1027.329224,39,64,17,7,3,1,1.641025641,3.764705882,2.294117647,5.571428571,39,13,0.3292,0.3292,320,Fatty_Acyls
LMFA11000704,184.2191,13,28,0,0,0,0,2.153846154,0,0,0,0,0,0.2191,0.2191,1189,Fatty_Acyls
LMFA01090030,125.06025,7,9,2,0,0,0,1.285714286,4.5,3.5,0,0,0,0.9786,0.0214,105,Fatty_Acyls
LMFA03060012,336.230061,20,32,4,0,0,0,1.6,8,5,0,0,0,0.2301,0.2301,684,Fatty_Acyls
LMFA01030696,300.20893,20,28,2,0,0,0,1.4,14,10,0,0,0,0.2089,0.2089,696,Fatty_Acyls
LMFA07010406,396.396731,26,52,2,0,0,0,2,26,13,0,0,0,0.3967,0.3967,1001,Fatty_Acyls
LMFA07070101,261.121237,11,19,6,1,0,0,1.727272727,3.166666667,1.833333333,11,0,0,0.1212,0.1212,464,Fatty_Acyls
LMFA08020184,516.327148,23,44,7,6,0,0,1.913043478,6.285714286,3.285714286,3.833333333,0,0,0.3271,0.3271,634,Fatty_Acyls
LMFA01050366,272.235146,16,32,3,0,0,0,2,10.66666667,5.333333333,0,0,0,0.2351,0.2351,864,Fatty_Acyls
LMFA01170128,336.230061,20,32,4,0,0,0,1.6,8,5,0,0,0,0.2301,0.2301,684,Fatty_Acyls
LMFA05000095,268.276616,18,36,1,0,0,0,2,36,18,0,0,0,0.2766,0.2766,1031,Fatty_Acyls
LMFA02000149,298.250796,18,34,3,0,0,0,1.888888889,11.33333333,6,0,0,0,0.2508,0.2508,841,Fatty_Acyls
LMFA01050400,120.04226,4,8,4,0,0,0,2,2,1,0,0,0,0.0423,0.0423,352,Fatty_Acyls
LMFA07010548,362.318481,24,42,2,0,0,0,1.75,21,12,0,0,0,0.3185,0.3185,879,Fatty_Acyls
LMFA01090024,127.075908,7,11,2,0,0,0,1.571428571,5.5,3.5,0,0,0,0.0448,0.0448,276,Fatty_Acyls
LMFA01030504,154.09938,9,14,2,0,0,0,1.555555556,7,4.5,0,0,0,0.0994,0.0994,645,Fatty_Acyls
LMFA03110024,354.240626,20,34,5,0,0,0,1.7,6.8,4,0,0,0,0.2406,0.2406,679,Fatty_Acyls
LMFA05000566,128.120115,8,16,1,0,0,0,2,16,8,0,0,0,0.1201,0.1201,937,Fatty_Acyls
LMFA07010231,224.17763,14,24,2,0,0,0,1.714285714,12,7,0,0,0,0.1776,0.1776,792,Fatty_Acyls
LMFA05000123,152.120115,10,16,1,0,0,0,1.6,16,10,0,0,0,0.1201,0.1201,790,Fatty_Acyls
LMFA11000295,506.579051,36,74,0,0,0,0,2.055555556,0,0,0,0,0,0.5791,0.4209,831,Fatty_Acyls
LMFA01050220,440.422946,28,56,3,0,0,0,2,18.66666667,9.333333333,0,0,0,0.4229,0.4229,960,Fatty_Acyls
LMFA11000049,274.266051,20,34,0,0,0,0,1.7,0,0,0,0,0,0.2661,0.2661,970,Fatty_Acyls
LMFA03050010,338.245711,20,34,4,0,0,0,1.7,8.5,5,0,0,0,0.2457,0.2457,726,Fatty_Acyls
LMFA01170026,300.230061,17,32,4,0,0,0,1.882352941,8,4.25,0,0,0,0.2301,0.2301,766,Fatty_Acyls
LMFA11000404,352.406901,25,52,0,0,0,0,2.08,0,0,0,0,0,0.4069,0.4069,1155,Fatty_Acyls
LMFA03120020,347.18585,20,27,5,0,0,0,1.35,5.4,4,0,0,0,0.1756,0.1756,474,Fatty_Acyls
LMFA07050290,897.141818,26,42,20,7,3,1,1.615384615,2.1,1.3,3.714285714,26,8.666666667,0.1418,0.1418,158,Fatty_Acyls
LMFA07010808,182.13068,11,18,2,0,0,0,1.636363636,9,5.5,0,0,0,0.1307,0.1307,718,Fatty_Acyls
LMFA07050216,1161.496289,47,86,18,7,3,1,1.829787234,4.777777778,2.611111111,6.714285714,47,15.66666667,0.4963,0.4963,427,Fatty_Acyls
LMFA07050254,837.120688,24,38,18,7,3,1,1.583333333,2.111111111,1.333333333,3.428571429,24,8,0.1207,0.1207,144,Fatty_Acyls
LMFA07010161,554.506281,38,66,2,0,0,0,1.736842105,33,19,0,0,0,0.5063,0.4937,890,Fatty_Acyls
LMFA05000557,266.260966,18,34,1,0,0,0,1.888888889,34,18,0,0,0,0.261,0.261,980,Fatty_Acyls
LMFA01030443,156.11503,9,16,2,0,0,0,1.777777778,8,4.5,0,0,0,0.115,0.115,737,Fatty_Acyls
LMFA07070093,247.105587,10,17,6,1,0,0,1.7,2.833333333,1.666666667,10,0,0,0.1056,0.1056,427,Fatty_Acyls
LMFA07010092,422.412381,28,54,2,0,0,0,1.928571429,27,14,0,0,0,0.4124,0.4124,976,Fatty_Acyls
LMFA12000198,282.292266,19,38,1,0,0,0,2,38,19,0,0,0,0.2923,0.2923,1035,Fatty_Acyls
LMFA01030230,196.14633,12,20,2,0,0,0,1.666666667,10,6,0,0,0,0.1463,0.1463,746,Fatty_Acyls
LMFA07010850,212.17763,13,24,2,0,0,0,1.846153846,12,6.5,0,0,0,0.1776,0.1776,837,Fatty_Acyls
LMFA01050034,202.156895,11,22,3,0,0,0,2,7.333333333,3.666666667,0,0,0,0.1569,0.1569,776,Fatty_Acyls
LMFA03120057,405.227719,23,33,6,0,0,0,1.434782609,5.5,3.833333333,0,0,0,0.1966,0.1966,447,Fatty_Acyls
LMFA02000238,316.261361,18,36,4,0,0,0,2,9,4.5,0,0,0,0.2614,0.2614,827,Fatty_Acyls
LMFA07050383,1143.485725,47,84,17,7,3,1,1.787234043,4.941176471,2.764705882,6.714285714,47,15.66666667,0.4857,0.4857,425,Fatty_Acyls
LMFA07070069,539.49136,33,65,4,1,0,0,1.96969697,16.25,8.25,33,0,0,0.4914,0.4914,911,Fatty_Acyls
LMFA01050256,326.282096,20,38,3,0,0,0,1.9,12.66666667,6.666666667,0,0,0,0.2821,0.2821,865,Fatty_Acyls
LMFA02000178,298.250796,18,34,3,0,0,0,1.888888889,11.33333333,6,0,0,0,0.2508,0.2508,841,Fatty_Acyls
LMFA01020049,312.302831,20,40,2,0,0,0,2,20,10,0,0,0,0.3028,0.3028,970,Fatty_Acyls
LMFA01050388,118.062995,5,10,3,0,0,0,2,3.333333333,1.666666667,0,0,0,0.063,0.063,534,Fatty_Acyls
LMFA01090095,377.341951,25,45,2,0,0,0,1.8,22.5,12.5,0,0,0,0.2603,0.2603,571,Fatty_Acyls
LMFA01020076,116.08373,6,12,2,0,0,0,2,6,3,0,0,0,0.0837,0.0837,721,Fatty_Acyls
LMFA01020277,132.04226,5,8,4,0,0,0,1.6,2,1.25,0,0,0,0.0423,0.0423,320,Fatty_Acyls
LMFA01030177,332.271531,22,36,2,0,0,0,1.636363636,18,11,0,0,0,0.2715,0.2715,817,Fatty_Acyls
LMFA11000527,460.500801,33,64,0,0,0,0,1.939393939,0,0,0,0,0,0.5008,0.4992,1084,Fatty_Acyls
LMFA08020097,470.350843,29,46,3,2,0,0,1.586206897,15.33333333,9.666666667,14.5,0,0,0.3508,0.3508,746,Fatty_Acyls
LMFA05000164,182.167065,12,22,1,0,0,0,1.833333333,22,12,0,0,0,0.1671,0.1671,917,Fatty_Acyls
LMFA01030754,172.05243,11,8,2,0,0,0,0.727272727,4,5.5,0,0,0,0.0524,0.0524,305,Fatty_Acyls
LMFA07070018,399.262088,21,37,6,1,0,0,1.761904762,6.166666667,3.5,21,0,0,0.2621,0.2621,656,Fatty_Acyls
